STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00451496,CLEARWATER WA US,19001122,17,-6,-9999
GHCND:USC00451496,CLEARWATER WA US,19001123,33,-6,-9999
GHCND:USC00451496,CLEARWATER WA US,19001124,94,0,-9999
GHCND:USC00451496,CLEARWATER WA US,19001125,-9999,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19001126,-9999,22,-9999
GHCND:USC00451496,CLEARWATER WA US,19001127,-9999,0,-9999
GHCND:USC00451496,CLEARWATER WA US,19001128,-9999,17,-9999
GHCND:USC00451496,CLEARWATER WA US,19001129,-9999,61,-9999
GHCND:USC00451496,CLEARWATER WA US,19001130,-9999,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19001201,-9999,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19001202,-9999,61,-9999
GHCND:USC00451496,CLEARWATER WA US,19001203,-9999,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19001204,-9999,89,-9999
GHCND:USC00451496,CLEARWATER WA US,19001205,-9999,106,-9999
GHCND:USC00451496,CLEARWATER WA US,19001206,-9999,67,-9999
GHCND:USC00451496,CLEARWATER WA US,19001207,-9999,39,-9999
GHCND:USC00451496,CLEARWATER WA US,19001208,-9999,17,-9999
GHCND:USC00451496,CLEARWATER WA US,19001209,-9999,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19001210,-9999,6,-9999
GHCND:USC00451496,CLEARWATER WA US,19001211,100,33,-9999
GHCND:USC00451496,CLEARWATER WA US,19001212,106,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19001213,100,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19001214,111,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19001215,111,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19001216,106,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19001217,83,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19001218,83,61,-9999
GHCND:USC00451496,CLEARWATER WA US,19001219,106,72,-9999
GHCND:USC00451496,CLEARWATER WA US,19001220,128,83,-9999
GHCND:USC00451496,CLEARWATER WA US,19001221,106,44,-9999
GHCND:USC00451496,CLEARWATER WA US,19001222,72,0,-9999
GHCND:USC00451496,CLEARWATER WA US,19001223,78,28,-9999
GHCND:USC00451496,CLEARWATER WA US,19001224,89,50,-9999
GHCND:USC00451496,CLEARWATER WA US,19001225,83,50,-9999
GHCND:USC00451496,CLEARWATER WA US,19001226,83,56,-9999
GHCND:USC00451496,CLEARWATER WA US,19001227,72,22,-9999
GHCND:USC00451496,CLEARWATER WA US,19001228,61,6,-9999
GHCND:USC00451496,CLEARWATER WA US,19001229,61,0,-9999
GHCND:USC00451496,CLEARWATER WA US,19001230,28,-17,-9999
GHCND:USC00451496,CLEARWATER WA US,19001231,11,-22,-9999
GHCND:USC00451496,CLEARWATER WA US,19010101,11,-6,-9999
GHCND:USC00451496,CLEARWATER WA US,19010102,17,0,11
GHCND:USC00451496,CLEARWATER WA US,19010103,17,0,11
GHCND:USC00451496,CLEARWATER WA US,19010104,28,-6,11
GHCND:USC00451496,CLEARWATER WA US,19010105,28,0,17
